English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,Seabirds _Oiseaux de mer,Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Snow Goose,Oie des neiges,Anser caerulescens,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Ross's Goose,Oie de Ross,Anser rossii,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Greater White-fronted Goose,Oie rieuse,Anser albifrons,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Brant,Bernache cravant,Branta bernicla,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Canada Goose,Bernache du Canada,Branta canadensis,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Mute Swan,Cygne tuberculé,Cygnus olor,,,,,,,,,,,,,,,,,,,,,
Trumpeter Swan,Cygne trompette,Cygnus buccinator,Included_Inclus,,Included_Inclus,,,,,,,,,,,,,,,,,,
Tundra Swan,Cygne siffleur,Cygnus columbianus,Included_Inclus,,Included_Inclus,,,,,,,,,,,,,,,,,,
Wood Duck,Canard branchu,Aix sponsa,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Northern Shoveler,Canard souchet,Spatula clypeata,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Gadwall,Canard chipeau,Mareca strepera,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Eurasian Wigeon,Canard siffleur,Mareca penelope,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
American Wigeon,Canard d'Amérique,Mareca americana,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Mallard,Canard colvert,Anas platyrhynchos,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
American Black Duck,Canard noir,Anas rubripes,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Northern Pintail,Canard pilet,Anas acuta,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Green-winged Teal,Sarcelle d'hiver,Anas crecca,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Canvasback,Fuligule à dos blanc,Aythya valisineria,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Redhead,Fuligule à tête rouge,Aythya americana,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Ring-necked Duck,Fuligule à collier,Aythya collaris,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Greater Scaup,Fuligule milouinan,Aythya marila,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Lesser Scaup,Petit Fuligule,Aythya affinis,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
King Eider,Eider à tête grise,Somateria spectabilis,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Common Eider,Eider à duvet,Somateria mollissima,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Labrador Duck,Eider du Labrador,Camptorhynchus labradorius,,,,,,,,,,,,,,,,,,,,,
White-winged Scoter,Macreuse brune,Melanitta fusca,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Black Scoter,Macreuse à bec jaune,Melanitta americana,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Bufflehead,Petit Garrot,Bucephala albeola,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Hooded Merganser,Harle couronné,Lophodytes cucullatus,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Common Merganser,Grand Harle,Mergus merganser,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Red-breasted Merganser,Harle huppé,Mergus serrator,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Mountain Quail,Colin des montagnes,Oreortyx pictus,,,,,,,,,,,,,,,,,,,,,
Northern Bobwhite,Colin de Virginie,Colinus virginianus,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
California Quail,Colin de Californie,Callipepla californica,,,,,,,,,,,,,,,,,,,,,
Chukar,Perdrix choukar,Alectoris chukar,,,,,,,,,,,,,,,,,,,,,
Gray Partridge,Perdrix grise,Perdix perdix,,,,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,,,,,,,,,,,,,,,,,,,,,
Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Rock Ptarmigan,Lagopède alpin,Lagopus muta,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Dusky Grouse,Tétras sombre,Dendragapus obscurus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,,,,,,,,,,,,,,,,,,,,,
Wild Turkey,Dindon sauvage,Meleagris gallopavo,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Horned Grebe,Grèbe esclavon,Podiceps auritus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Red-necked Grebe,Grèbe jougris,Podiceps grisegena,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Western Grebe,Grèbe élégant,Aechmophorus occidentalis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Rock Pigeon,Pigeon biset,Columba livia,,,,,,,,,,,,,,,,,,,,,
Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,,,,,,,,,,,,,,,,,,,,,
Passenger Pigeon,Tourte voyageuse,Ectopistes migratorius,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Tourterelle triste,Zenaida macroura,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,,,,
Black Swift,Martinet sombre,Cypseloides niger,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Chimney Swift,Martinet ramoneur,Chaetura pelagica,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,,,,
White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
